Phrase	NPQ	IDF	PMI	CMI
时 	 77.8542898144572 	 -0.03278982282299084 	 1000 	 -3.1629215305734726
我 	 70.71246423030318 	 -0.03278982282299084 	 1000 	 -1.9303252473310368
到 	 70.42343098152001 	 -0.03278982282299084 	 1000 	 -3.8139157261346806
来 	 67.73311587578524 	 -0.03278982282299084 	 1000 	 -2.797493796023141
们 	 67.48458111123718 	 -0.03278982282299084 	 1000 	 -1.9303252473310368
个 	 65.47679298871131 	 -0.03278982282299084 	 1000 	 -2.9935675441258125
将 	 65.2246837205809 	 -0.03278982282299084 	 1000 	 -5.18419979872646
后 	 65.01744197604252 	 -0.03278982282299084 	 1000 	 -3.930701426611598
与教育密切相关者所应尽的职责 	 60.61767530269879 	 2.70805020110221 	 6.742989882592371 	 -1000
与 	 60.13334614042241 	 -0.03278982282299084 	 1000 	 -3.886804915463539
而 	 59.65253016049359 	 -0.03278982282299084 	 1000 	 -2.697383876746783
要 	 55.736077075060344 	 -0.03278982282299084 	 1000 	 -2.7007474257340873
： 	 54.445171621703246 	 -0.03278982282299084 	 1000 	 -2.177047367951487
出 	 52.618326142190675 	 -0.03278982282299084 	 1000 	 -3.126214851608192
前 	 49.844367679345126 	 -0.03278982282299084 	 1000 	 -2.290136548638886
可 	 47.851857994980925 	 -0.03278982282299084 	 1000 	 -2.6019798412590016
能 	 47.69458201053558 	 -0.03278982282299084 	 1000 	 -2.5911202719039506
就 	 47.59458770354291 	 -0.03278982282299084 	 1000 	 -4.831735173427027
） 	 46.845488754692695 	 -0.03278982282299084 	 1000 	 -2.875393689160491
但 	 46.593864904623395 	 -0.03278982282299084 	 1000 	 -3.613039517186884
共和党总统候选人小布什 	 45.07163093969567 	 0.22314355131420976 	 7.481160744526272 	 -10.044539966242695
地 	 44.80297823912705 	 -0.03278982282299084 	 1000 	 -3.624070612441639
新航公共事务副总裁克莱门斯 	 42.70847568653397 	 1.455287232606842 	 5.987256375463048 	 -1000
都 	 42.70619517510375 	 -0.03278982282299084 	 1000 	 -5.348665683509064
于 	 41.97688376117621 	 -0.03278982282299084 	 1000 	 -3.2620776812835883
（ 	 41.53537653967029 	 -0.03278982282299084 	 1000 	 -4.63154375957101
家 	 41.4439833677866 	 -0.03278982282299084 	 1000 	 -2.839876583421411
所 	 41.306017017176735 	 -0.03278982282299084 	 1000 	 -3.444496321032362
多 	 40.56460526772787 	 -0.03278982282299084 	 1000 	 -2.6928298933920427
过 	 39.57268745030467 	 -0.03278982282299084 	 1000 	 -3.0174815461683377
美 	 38.60353983226418 	 -0.03278982282299084 	 1000 	 -2.19899385915332
及 	 37.38642862045019 	 -0.03278982282299084 	 1000 	 -3.315714078401384
之 	 36.69870105797212 	 -0.03278982282299084 	 1000 	 -3.456203534944091
其 	 36.521228247023195 	 -0.03278982282299084 	 1000 	 -2.9087653422062667
下 	 36.20926096093234 	 -0.03278982282299084 	 1000 	 -3.5185569076958125
因 	 36.09934672118709 	 -0.03278982282299084 	 1000 	 -2.2279064794341914
同 	 36.08785127264342 	 -0.03278982282299084 	 1000 	 -3.8681015101984255
并 	 35.767100761809154 	 -0.03278982282299084 	 1000 	 -4.047317269869412
新 	 35.63735774977947 	 -0.03278982282299084 	 1000 	 -1.0381079676036997
成 	 35.32941315150869 	 -0.03278982282299084 	 1000 	 -3.1960935782198123
当 	 34.770840268123145 	 -0.03278982282299084 	 1000 	 -3.654768960836672
得 	 33.57637519362969 	 -0.03278982282299084 	 1000 	 -2.636588788063503
还 	 33.43638021878221 	 -0.03278982282299084 	 1000 	 -5.023646240572986
1 	 32.785985199852405 	 -0.03278982282299084 	 1000 	 -2.7528078912333136
交通及资讯科技部长姚照东 	 32.74162074164738 	 1.0986122886681098 	 7.41602144235531 	 -1000
从 	 32.51706474857309 	 -0.03278982282299084 	 1000 	 -4.236021067824183
她 	 31.977060933145598 	 -0.03278982282299084 	 1000 	 -6.132147085931986
届虎牌杯亚细安足球锦标赛 	 31.05714555311621 	 1.0033021088637848 	 6.974087089872983 	 -1000
已 	 30.343841379218507 	 -0.03278982282299084 	 1000 	 -2.6392294635484626
两 	 29.04884520686657 	 -0.03278982282299084 	 1000 	 -2.7604282870075845
民主党总统候选人戈尔 	 27.96256712688951 	 0.22314355131420976 	 6.672031519341545 	 -1000
