Phrase	NPQ	IDF	PMI	CMI
社会发展及体育部高级政务次长符喜泉 	 139.4804921021546 	 1.455287232606842 	 7.689111587269969 	 -1000
总理公署兼卫生部政务次长曾士生 	 41.743840165540604 	 1.2039728043259361 	 6.608098747202937 	 -1000
的 	 30.228877010938138 	 -0.03278982282299084 	 1000 	 -5.739772785966267
， 	 25.02293765726517 	 -0.03278982282299084 	 1000 	 -3.7399979018441676
新航副主席兼总裁张松光博士 	 20.578078195904766 	 1.0986122886681098 	 5.987256375463048 	 -1000
与教育密切相关者所应尽的职责 	 17.41871414188754 	 2.70805020110221 	 6.742989882592371 	 -1000
和 	 17.19199243723576 	 -0.03278982282299084 	 1000 	 -3.9571791582137688
在 	 16.34503719665305 	 -0.03278982282299084 	 1000 	 -4.914952333116722
是 	 11.254185312721997 	 -0.03278982282299084 	 1000 	 -3.7615631700776233
新航公共事务副总裁克莱门斯 	 10.131349848494349 	 1.455287232606842 	 5.987256375463048 	 -1000
与 	 9.743752432652267 	 -0.03278982282299084 	 1000 	 -3.886804915463539
共和党总统候选人小布什 	 9.181017001902104 	 0.22314355131420976 	 7.481160744526272 	 -10.044539966242695
了 	 9.119224163228932 	 -0.03278982282299084 	 1000 	 -3.3615137513723305
交通及资讯科技部长姚照东 	 8.776433039578272 	 1.0986122886681098 	 7.41602144235531 	 -1000
届虎牌杯亚细安足球锦标赛 	 8.714688344511533 	 1.0033021088637848 	 6.974087089872983 	 -1000
他 	 8.470944448958347 	 -0.03278982282299084 	 1000 	 -2.230710974476464
民主党总统候选人戈尔 	 8.006013499684741 	 0.22314355131420976 	 6.672031519341545 	 -1000
李立德（台北通讯员）台湾 	 7.701585699656635 	 1.0033021088637848 	 6.976273772327863 	 -1000
也 	 7.635902208875416 	 -0.03278982282299084 	 1000 	 -5.45752537564487
对 	 7.496081208044794 	 -0.03278982282299084 	 1000 	 -3.4548476406742816
中 	 7.410202969887477 	 -0.03278982282299084 	 1000 	 -3.0187921652366474
nternational 	 7.267940263647034 	 1.0986122886681098 	 7.346428150556115 	 -1000
） 	 7.229509390180957 	 -0.03278982282299084 	 1000 	 -2.875393689160491
为 	 7.082058472768898 	 -0.03278982282299084 	 1000 	 -2.556557831277422
将 	 7.077878919152532 	 -0.03278982282299084 	 1000 	 -5.18419979872646
以 	 6.992155077679715 	 -0.03278982282299084 	 1000 	 -3.2650305952834446
上 	 6.974251459799405 	 -0.03278982282299084 	 1000 	 -4.458687585384127
： 	 6.9563935935795 	 -0.03278982282299084 	 1000 	 -2.177047367951487
（ 	 6.849902226240656 	 -0.03278982282299084 	 1000 	 -4.63154375957101
而 	 6.848557769883102 	 -0.03278982282299084 	 1000 	 -2.697383876746783
有 	 6.781653110175239 	 -0.03278982282299084 	 1000 	 -2.0273472299990725
人 	 6.713480149384147 	 -0.03278982282299084 	 1000 	 -3.3388983942530563
到 	 6.191428076211023 	 -0.03278982282299084 	 1000 	 -3.8139157261346806
不 	 6.162716099448122 	 -0.03278982282299084 	 1000 	 -3.375625228183751
签订双边自由贸易协定的谈 	 6.001203814942807 	 1.791759469228055 	 7.64344155043678 	 -1000
飞航安全委员会执行长戎凯 	 5.961781502578297 	 1.3217558399823195 	 7.905270244062227 	 -1000
新加坡航空公司SQ006 	 5.865836948186999 	 1.2039728043259361 	 5.987256375463048 	 -1000
或 	 5.8409492116676605 	 -0.03278982282299084 	 1000 	 -4.914789358264684
她 	 5.74627217007951 	 -0.03278982282299084 	 1000 	 -6.132147085931986
及 	 5.7448011345833185 	 -0.03278982282299084 	 1000 	 -3.315714078401384
这 	 5.716892463784901 	 -0.03278982282299084 	 1000 	 -3.329886425198945
Singapore 	 5.71662825928871 	 0.7621400520468967 	 6.969472192404172 	 -1000
大 	 5.698463635323162 	 -0.03278982282299084 	 1000 	 -3.4574695837521667
从 	 5.668951804254537 	 -0.03278982282299084 	 1000 	 -4.236021067824183
社会发展及体育部高级政务次长符喜 	 5.651625456702173 	 1.455287232606842 	 7.689111587269969 	 -1.967650135691719
就 	 5.633024665660874 	 -0.03278982282299084 	 1000 	 -4.831735173427027
周锐鹏（北京特派员）中国 	 5.589880761635438 	 1.455287232606842 	 5.388772004201505 	 -1000
时 	 5.496120706547527 	 -0.03278982282299084 	 1000 	 -3.1629215305734726
发展及体育部高级政务次长符喜泉 	 5.493936207244137 	 1.3217558399823195 	 6.4932086400061895 	 -4.004424170629194
后 	 5.4621553191321714 	 -0.03278982282299084 	 1000 	 -3.930701426611598
会 	 5.462137828923544 	 -0.03278982282299084 	 1000 	 -3.3780345609880715
我 	 5.380756146056998 	 -0.03278982282299084 	 1000 	 -1.9303252473310368
一 	 5.3765530361738705 	 -0.03278982282299084 	 1000 	 -2.9935675441258125
来 	 5.3238750694838215 	 -0.03278982282299084 	 1000 	 -2.797493796023141
会发展及体育部高级政务次长符喜泉 	 5.296824645421594 	 1.455287232606842 	 5.6958844067736445 	 -4.81592967810258
地 	 5.27948696900751 	 -0.03278982282299084 	 1000 	 -3.624070612441639
余歌沧（雅加达通讯员） 	 5.262330550193014 	 1.2039728043259361 	 6.866412885896133 	 -1000
都 	 5.23807650083054 	 -0.03278982282299084 	 1000 	 -5.348665683509064
等 	 5.2329685487094295 	 -0.03278982282299084 	 1000 	 -4.923239872270645
亚太经合论坛非正式峰会 	 5.169797574994056 	 1.3217558399823195 	 5.769992378927367 	 -1000
中国加入世界贸易组织 	 5.0942382432355 	 0.9162907318741551 	 5.784728324340643 	 -1000
要 	 5.078457049387474 	 -0.03278982282299084 	 1000 	 -2.7007474257340873
但 	 4.947150449947565 	 -0.03278982282299084 	 1000 	 -3.613039517186884
新航SQ006班机 	 4.899967079390321 	 0.7621400520468967 	 5.987256375463048 	 -1000
虎牌杯亚细安足球锦标赛 	 4.893841388442493 	 0.7621400520468967 	 6.974087089872983 	 -4.196499946930978
所 	 4.762472450330312 	 -0.03278982282299084 	 1000 	 -3.444496321032362
被 	 4.756385428407366 	 -0.03278982282299084 	 1000 	 -4.3269675969742
民众俱乐部乐龄俱乐部 	 4.747103022992583 	 2.70805020110221 	 6.672031519341545 	 -1000
签订双边自由贸易协定 	 4.692349528552745 	 1.0986122886681098 	 7.055790561540568 	 -3.5242995787961386
已 	 4.647501895646463 	 -0.03278982282299084 	 1000 	 -2.6392294635484626
前 	 4.627233631960572 	 -0.03278982282299084 	 1000 	 -2.290136548638886
贸工部长杨荣文准将 	 4.607003339986851 	 0.7621400520468967 	 6.6091561650872315 	 -1000
的美国职业篮球联赛中， 	 4.566417278101793 	 0.9162907318741551 	 3.764948468478383 	 -1000
却 	 4.511142420501455 	 -0.03278982282299084 	 1000 	 -6.103794575523049
又 	 4.483122455789506 	 -0.03278982282299084 	 1000 	 -7.134214315649851
向 	 4.482609715719675 	 -0.03278982282299084 	 1000 	 -4.001928304551761
把 	 4.434028934122665 	 -0.03278982282299084 	 1000 	 -5.359585238817485
于 	 4.411114605723846 	 -0.03278982282299084 	 1000 	 -3.2620776812835883
并 	 4.410690502195512 	 -0.03278982282299084 	 1000 	 -4.047317269869412
下 	 4.380609254054735 	 -0.03278982282299084 	 1000 	 -3.5185569076958125
民主党候选人戈尔 	 4.375246266928741 	 0.6931471805599453 	 6.672031519341545 	 -1000
； 	 4.371307216510123 	 -0.03278982282299084 	 1000 	 -5.375694987569381
出 	 4.322034767520985 	 -0.03278982282299084 	 1000 	 -3.126214851608192
说 	 4.307692225424506 	 -0.03278982282299084 	 1000 	 -2.177047367951487
新 	 4.298180731654109 	 -0.03278982282299084 	 1000 	 -1.0381079676036997
由 	 4.2332650197594965 	 -0.03278982282299084 	 1000 	 -2.904731967697837
多 	 4.218258853566194 	 -0.03278982282299084 	 1000 	 -2.6928298933920427
之 	 4.215170814382489 	 -0.03278982282299084 	 1000 	 -3.456203534944091
共和党总统候选人小布什的 	 4.187777446175397 	 1.2039728043259361 	 2.722865563597344 	 -1000
可 	 4.092269549049479 	 -0.03278982282299084 	 1000 	 -2.6019798412590016
还 	 4.090692869555581 	 -0.03278982282299084 	 1000 	 -5.023646240572986
？ 	 4.050723636575044 	 -0.03278982282299084 	 1000 	 -1.8247121522871432
美国总统克林顿 	 4.04122266598778 	 0.3566749439387324 	 6.578525579990578 	 -1000
能 	 4.025977341611475 	 -0.03278982282299084 	 1000 	 -2.5911202719039506
2 	 4.024867374027916 	 -0.03278982282299084 	 1000 	 -3.4562703503901506
印尼总统瓦希德 	 4.014848470595266 	 0.5679840376059393 	 7.392127122155874 	 -1000
更 	 4.006968761922847 	 -0.03278982282299084 	 1000 	 -3.939049022558806
